STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,acs_demographics_id,acs_demographics_Geographic Area Name,acs_demographics_Estimate!!Total:,acs_demographics_Estimate!!Total:!!White alone,acs_demographics_Estimate!!Total:!!Black or African American alone,acs_demographics_Estimate!!Total:!!American Indian and Alaska Native alone,acs_demographics_Estimate!!Total:!!Asian alone,acs_demographics_Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,acs_demographics_Estimate!!Total:!!Some other race alone,acs_demographics_Estimate!!Total:!!Two or more races:,acs_demographics_Estimate!!Total:!!Two or more races:!!Two races including Some other race,"acs_demographics_Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",poultry_bg_1m_1m_poultry
"37","183","052802","4","371830528024",Block Group 4,G5030,S,"2202037","4255","+35.6922225","-078.6441075",1500000US371830528024,"Block Group 4, Census Tract 528.02, Wake County, North Carolina","1480","1081","339","27","1","0","0","32","0","32",
"37","183","054011","1","371830540111",Block Group 1,G5030,S,"1649496","0","+35.8935286","-078.6067368",1500000US371830540111,"Block Group 1, Census Tract 540.11, Wake County, North Carolina","1632","1374","27","0","188","0","0","43","0","43",
"37","183","054017","1","371830540171",Block Group 1,G5030,S,"2849393","181029","+35.8817202","-078.5900749",1500000US371830540171,"Block Group 1, Census Tract 540.17, Wake County, North Carolina","2807","1802","845","0","6","0","71","83","0","83",
"37","183","054012","3","371830540123",Block Group 3,G5030,S,"1412998","0","+35.8706056","-078.6024467",1500000US371830540123,"Block Group 3, Census Tract 540.12, Wake County, North Carolina","737","678","22","28","0","0","9","0","0","0",
"37","183","054012","2","371830540122",Block Group 2,G5030,S,"1696852","0","+35.8748938","-078.6143402",1500000US371830540122,"Block Group 2, Census Tract 540.12, Wake County, North Carolina","1266","1045","112","0","86","0","12","11","0","11",
"37","183","054006","1","371830540061",Block Group 1,G5030,S,"1459958","0","+35.8757687","-078.6338759",1500000US371830540061,"Block Group 1, Census Tract 540.06, Wake County, North Carolina","2236","1196","662","0","68","0","257","53","8","45",
"37","183","052904","1","371830529041",Block Group 1,G5030,S,"9083407","0","+35.6342228","-078.6553245",1500000US371830529041,"Block Group 1, Census Tract 529.04, Wake County, North Carolina","3373","2350","519","12","128","0","135","229","0","229",
"37","183","053111","1","371830531111",Block Group 1,G5030,S,"4125930","0","+35.6494428","-078.7312192",1500000US371830531111,"Block Group 1, Census Tract 531.11, Wake County, North Carolina","2108","1770","188","0","0","0","123","27","0","27",
"37","183","053111","2","371830531112",Block Group 2,G5030,S,"6985890","65799","+35.6653432","-078.7221596",1500000US371830531112,"Block Group 2, Census Tract 531.11, Wake County, North Carolina","2378","1525","598","0","0","0","171","84","0","84",
"37","183","053201","2","371830532012",Block Group 2,G5030,S,"12709727","75371","+35.6788182","-078.7685957",1500000US371830532012,"Block Group 2, Census Tract 532.01, Wake County, North Carolina","4784","4171","266","0","108","0","0","239","0","239",
"37","183","053006","1","371830530061",Block Group 1,G5030,S,"9539158","59046","+35.6932144","-078.7438873",1500000US371830530061,"Block Group 1, Census Tract 530.06, Wake County, North Carolina","3123","2950","76","0","28","0","17","52","0","52",
"37","183","053009","4","371830530094",Block Group 4,G5030,S,"5306886","0","+35.6864198","-078.6888315",1500000US371830530094,"Block Group 4, Census Tract 530.09, Wake County, North Carolina","1015","987","0","0","0","0","0","28","0","28",
"37","183","053109","2","371830531092",Block Group 2,G5030,S,"15494377","212280","+35.5784238","-078.7137778",1500000US371830531092,"Block Group 2, Census Tract 531.09, Wake County, North Carolina","1672","1403","223","0","17","0","0","29","0","29",
"37","183","053109","1","371830531091",Block Group 1,G5030,S,"18331831","228918","+35.6115797","-078.7479601",1500000US371830531091,"Block Group 1, Census Tract 531.09, Wake County, North Carolina","7806","6710","372","0","161","0","357","206","15","191",
"37","183","053108","2","371830531082",Block Group 2,G5030,S,"18188952","214259","+35.5694713","-078.7606492",1500000US371830531082,"Block Group 2, Census Tract 531.08, Wake County, North Carolina","5943","4693","605","38","129","0","106","372","247","125",
"37","183","053205","1","371830532051",Block Group 1,G5030,S,"8261162","367809","+35.6275663","-078.8067370",1500000US371830532051,"Block Group 1, Census Tract 532.05, Wake County, North Carolina","4450","3631","566","4","65","0","29","155","22","133",
"37","183","053202","2","371830532022",Block Group 2,G5030,S,"4046542","416127","+35.6455311","-078.7898988",1500000US371830532022,"Block Group 2, Census Tract 532.02, Wake County, North Carolina","2067","1882","135","0","20","0","23","7","0","7",
"37","183","053202","1","371830532021",Block Group 1,G5030,S,"3053474","3459","+35.6511794","-078.8077312",1500000US371830532021,"Block Group 1, Census Tract 532.02, Wake County, North Carolina","2248","1991","172","17","20","0","12","36","0","36",
"37","183","053203","1","371830532031",Block Group 1,G5030,S,"4107068","19014","+35.6731649","-078.8174613",1500000US371830532031,"Block Group 1, Census Tract 532.03, Wake County, North Carolina","5685","4036","738","0","301","23","44","543","237","306",
"37","183","053201","1","371830532011",Block Group 1,G5030,S,"13972535","0","+35.6470704","-078.7649529",1500000US371830532011,"Block Group 1, Census Tract 532.01, Wake County, North Carolina","7666","6961","535","0","112","0","19","39","13","26",
"37","183","053005","3","371830530053",Block Group 3,G5030,S,"3953868","0","+35.7067416","-078.7783424",1500000US371830530053,"Block Group 3, Census Tract 530.05, Wake County, North Carolina","1962","1774","0","27","65","0","0","96","18","78",
"37","183","053004","1","371830530041",Block Group 1,G5030,S,"1641962","66316","+35.7352704","-078.7718380",1500000US371830530041,"Block Group 1, Census Tract 530.04, Wake County, North Carolina","1481","1307","16","0","112","0","0","46","0","46",
"37","183","053419","1","371830534191",Block Group 1,G5030,S,"3449860","0","+35.7363013","-078.8127523",1500000US371830534191,"Block Group 1, Census Tract 534.19, Wake County, North Carolina","724","677","9","0","34","0","0","4","0","4",
"37","183","053405","2","371830534052",Block Group 2,G5030,S,"3675575","81789","+35.7244793","-078.8031578",1500000US371830534052,"Block Group 2, Census Tract 534.05, Wake County, North Carolina","2633","2260","35","17","231","0","59","31","0","31",
"37","183","054016","1","371830540161",Block Group 1,G5030,S,"647331","0","+35.8969080","-078.5760398",1500000US371830540161,"Block Group 1, Census Tract 540.16, Wake County, North Carolina","1389","916","414","0","33","0","0","26","0","26",
"37","183","053722","1","371830537221",Block Group 1,G5030,S,"833419","0","+35.8949113","-078.6747184",1500000US371830537221,"Block Group 1, Census Tract 537.22, Wake County, North Carolina","1417","1313","69","0","35","0","0","0","0","0",
"37","183","053805","2","371830538052",Block Group 2,G5030,S,"4273750","1516195","+35.9478880","-078.5968173",1500000US371830538052,"Block Group 2, Census Tract 538.05, Wake County, North Carolina","688","643","24","0","7","0","0","14","0","14",
"37","183","053601","2","371830536012",Block Group 2,G5030,S,"2708097","0","+35.8317119","-078.9073196",1500000US371830536012,"Block Group 2, Census Tract 536.01, Wake County, North Carolina","4390","2574","304","51","1206","0","20","235","96","139",
"37","183","053601","3","371830536013",Block Group 3,G5030,S,"3999791","0","+35.8319250","-078.8902507",1500000US371830536013,"Block Group 3, Census Tract 536.01, Wake County, North Carolina","4381","1978","960","0","1244","31","98","70","0","70",
"37","071","032704","2","370710327042",Block Group 2,G5030,S,"679439","0","+35.2437527","-081.1621885",1500000US370710327042,"Block Group 2, Census Tract 327.04, Gaston County, North Carolina","1050","990","21","0","21","0","0","18","0","18",
"37","071","032704","3","370710327043",Block Group 3,G5030,S,"1181662","0","+35.2403083","-081.1560200",1500000US370710327043,"Block Group 3, Census Tract 327.04, Gaston County, North Carolina","1736","964","633","0","0","0","18","121","0","121",
"37","071","032704","4","370710327044",Block Group 4,G5030,S,"1158437","0","+35.2485864","-081.1525196",1500000US370710327044,"Block Group 4, Census Tract 327.04, Gaston County, North Carolina","466","414","52","0","0","0","0","0","0","0",
"37","071","033203","1","370710332031",Block Group 1,G5030,S,"825910","0","+35.2464468","-081.2074602",1500000US370710332031,"Block Group 1, Census Tract 332.03, Gaston County, North Carolina","708","433","219","0","0","0","0","56","0","56",
"37","071","033203","3","370710332033",Block Group 3,G5030,S,"996820","0","+35.2389857","-081.2005230",1500000US370710332033,"Block Group 3, Census Tract 332.03, Gaston County, North Carolina","741","193","437","0","0","0","50","61","14","47",
"37","071","033204","1","370710332041",Block Group 1,G5030,S,"3037788","0","+35.2268757","-081.2230476",1500000US370710332041,"Block Group 1, Census Tract 332.04, Gaston County, North Carolina","1073","781","210","0","0","0","68","14","0","14",
"37","071","033204","2","370710332042",Block Group 2,G5030,S,"731550","0","+35.2359520","-081.2184081",1500000US370710332042,"Block Group 2, Census Tract 332.04, Gaston County, North Carolina","974","532","321","0","0","0","25","96","24","72",
"37","129","011605","2","371290116052",Block Group 2,G5030,S,"2295319","11061","+34.2525897","-077.8797645",1500000US371290116052,"Block Group 2, Census Tract 116.05, New Hanover County, North Carolina","3452","2184","1229","0","28","0","0","11","0","11",
"37","129","011903","4","371290119034",Block Group 4,G5030,S,"2691025","15721","+34.2274312","-077.8646452",1500000US371290119034,"Block Group 4, Census Tract 119.03, New Hanover County, North Carolina","5148","4621","234","11","105","0","35","142","12","130",
"37","129","011903","2","371290119032",Block Group 2,G5030,S,"404797","3776","+34.2326530","-077.8727605",1500000US371290119032,"Block Group 2, Census Tract 119.03, New Hanover County, North Carolina","1412","1048","322","0","0","0","12","30","0","30",
"37","129","011606","2","371290116062",Block Group 2,G5030,S,"3021693","6271","+34.2559818","-077.8638497",1500000US371290116062,"Block Group 2, Census Tract 116.06, New Hanover County, North Carolina","2537","2014","434","22","67","0","0","0","0","0",
"37","129","011701","1","371290117011",Block Group 1,G5030,S,"2369563","24303","+34.2462768","-077.8488604",1500000US371290117011,"Block Group 1, Census Tract 117.01, New Hanover County, North Carolina","1786","1630","53","0","0","0","0","103","0","103",
"37","129","011904","1","371290119041",Block Group 1,G5030,S,"1853791","40506","+34.2334296","-077.8483471",1500000US371290119041,"Block Group 1, Census Tract 119.04, New Hanover County, North Carolina","1334","1209","77","0","13","0","0","35","0","35",
"37","129","011903","5","371290119035",Block Group 5,G5030,S,"1189381","25958","+34.2234198","-077.8509214",1500000US371290119035,"Block Group 5, Census Tract 119.03, New Hanover County, North Carolina","1134","1018","76","0","0","0","0","40","0","40",
"37","129","011902","4","371290119024",Block Group 4,G5030,S,"804493","57158","+34.2167230","-077.8442555",1500000US371290119024,"Block Group 4, Census Tract 119.02, New Hanover County, North Carolina","1070","949","88","0","0","0","0","33","0","33",
"37","129","012007","1","371290120071",Block Group 1,G5030,S,"2529852","22172","+34.1756031","-077.9196696",1500000US371290120071,"Block Group 1, Census Tract 120.07, New Hanover County, North Carolina","2363","1965","372","0","0","0","26","0","0","0",
"37","119","005913","2","371190059132",Block Group 2,G5030,S,"2903086","11411","+35.1403219","-080.9525947",1500000US371190059132,"Block Group 2, Census Tract 59.13, Mecklenburg County, North Carolina","3052","1662","943","0","294","0","107","46","9","37",
"37","119","001918","2","371190019182",Block Group 2,G5030,S,"833229","4696","+35.1968425","-080.7567315",1500000US371190019182,"Block Group 2, Census Tract 19.18, Mecklenburg County, North Carolina","2518","759","1300","63","0","0","383","13","0","13",
"37","119","003201","1","371190032011",Block Group 1,G5030,S,"728746","0","+35.1888242","-080.8695612",1500000US371190032011,"Block Group 1, Census Tract 32.01, Mecklenburg County, North Carolina","1030","891","21","0","0","0","118","0","0","0",
"37","119","003102","1","371190031021",Block Group 1,G5030,S,"2414066","47994","+35.1507020","-080.8535714",1500000US371190031021,"Block Group 1, Census Tract 31.02, Mecklenburg County, North Carolina","1960","1438","185","59","183","0","69","26","0","26",
"37","119","005817","2","371190058172",Block Group 2,G5030,S,"2642654","92729","+35.0702898","-080.7814070",1500000US371190058172,"Block Group 2, Census Tract 58.17, Mecklenburg County, North Carolina","3228","2673","239","0","278","0","0","38","0","38",
"37","119","005715","1","371190057151",Block Group 1,G5030,S,"18284575","114278","+35.2084182","-080.5910474",1500000US371190057151,"Block Group 1, Census Tract 57.15, Mecklenburg County, North Carolina","2633","2209","234","0","10","0","172","8","0","8",
"37","119","003902","1","371190039021",Block Group 1,G5030,S,"878962","0","+35.2138391","-080.9087099",1500000US371190039021,"Block Group 1, Census Tract 39.02, Mecklenburg County, North Carolina","1112","231","640","0","106","0","37","98","0","98",
"37","119","001923","2","371190019232",Block Group 2,G5030,S,"807076","18418","+35.2134653","-080.7117123",1500000US371190019232,"Block Group 2, Census Tract 19.23, Mecklenburg County, North Carolina","1343","440","375","0","23","0","483","22","0","22",
"37","119","001922","2","371190019222",Block Group 2,G5030,S,"2285616","81795","+35.2151470","-080.6962547",1500000US371190019222,"Block Group 2, Census Tract 19.22, Mecklenburg County, North Carolina","2689","732","1350","48","41","0","494","24","0","24",
"37","119","001300","2","371190013002",Block Group 2,G5030,S,"462879","0","+35.2378819","-080.7947406",1500000US371190013002,"Block Group 2, Census Tract 13, Mecklenburg County, North Carolina","931","435","482","0","0","0","0","14","0","14",
"37","119","005618","1","371190056181",Block Group 1,G5030,S,"5529260","20765","+35.2661197","-080.6865346",1500000US371190056181,"Block Group 1, Census Tract 56.18, Mecklenburg County, North Carolina","1853","1484","349","0","10","0","0","10","0","10",
"37","119","001508","2","371190015082",Block Group 2,G5030,S,"2422724","75285","+35.2381830","-080.7271687",1500000US371190015082,"Block Group 2, Census Tract 15.08, Mecklenburg County, North Carolina","3296","1194","1270","0","129","0","386","317","36","281",
"37","119","003600","3","371190036003",Block Group 3,G5030,S,"615002","0","+35.2134522","-080.8814179",1500000US371190036003,"Block Group 3, Census Tract 36, Mecklenburg County, North Carolina","878","93","785","0","0","0","0","0","0","0",
"37","119","001504","3","371190015043",Block Group 3,G5030,S,"930491","149","+35.2367882","-080.7475372",1500000US371190015043,"Block Group 3, Census Tract 15.04, Mecklenburg County, North Carolina","2008","308","996","0","114","0","590","0","0","0",
"37","119","005618","2","371190056182",Block Group 2,G5030,S,"1130472","1496","+35.2520320","-080.6823653",1500000US371190056182,"Block Group 2, Census Tract 56.18, Mecklenburg County, North Carolina","1763","211","1183","36","79","0","0","254","33","221",
"37","119","005617","2","371190056172",Block Group 2,G5030,S,"2199080","18283","+35.2455698","-080.6989300",1500000US371190056172,"Block Group 2, Census Tract 56.17, Mecklenburg County, North Carolina","31","31","0","0","0","0","0","0","0","0",
"37","119","001802","1","371190018021",Block Group 1,G5030,S,"1079219","146","+35.1917613","-080.7823660",1500000US371190018021,"Block Group 1, Census Tract 18.02, Mecklenburg County, North Carolina","1335","858","204","0","147","0","111","15","0","15",
"37","119","005617","1","371190056171",Block Group 1,G5030,S,"2807756","14557","+35.2376352","-080.7119778",1500000US371190056171,"Block Group 1, Census Tract 56.17, Mecklenburg County, North Carolina","1833","808","830","0","12","0","33","150","71","79",
"37","119","001915","1","371190019151",Block Group 1,G5030,S,"711849","0","+35.1720415","-080.7522748",1500000US371190019151,"Block Group 1, Census Tract 19.15, Mecklenburg County, North Carolina","1606","615","901","0","33","0","0","57","13","44",
"37","119","001915","2","371190019152",Block Group 2,G5030,S,"1154785","23151","+35.1658617","-080.7452278",1500000US371190019152,"Block Group 2, Census Tract 19.15, Mecklenburg County, North Carolina","2921","575","2004","197","26","0","0","119","0","119",
"37","119","001508","3","371190015083",Block Group 3,G5030,S,"529148","0","+35.2323986","-080.7341292",1500000US371190015083,"Block Group 3, Census Tract 15.08, Mecklenburg County, North Carolina","932","339","449","0","0","0","112","32","32","0",
"37","119","001915","4","371190019154",Block Group 4,G5030,S,"654269","15370","+35.1536905","-080.7434065",1500000US371190019154,"Block Group 4, Census Tract 19.15, Mecklenburg County, North Carolina","1591","472","442","0","0","0","481","196","0","196",
"37","119","001507","1","371190015071",Block Group 1,G5030,S,"518855","0","+35.2466839","-080.7482208",1500000US371190015071,"Block Group 1, Census Tract 15.07, Mecklenburg County, North Carolina","2297","755","318","74","0","0","1064","86","61","25",
"37","119","005519","1","371190055191",Block Group 1,G5030,S,"1666498","18287","+35.3728940","-080.7551393",1500000US371190055191,"Block Group 1, Census Tract 55.19, Mecklenburg County, North Carolina","2942","1506","912","0","224","0","239","61","0","61",
"37","119","005518","2","371190055182",Block Group 2,G5030,S,"5056788","22734","+35.3617767","-080.7682068",1500000US371190055182,"Block Group 2, Census Tract 55.18, Mecklenburg County, North Carolina","1890","701","924","17","20","0","205","23","0","23",
"37","119","005509","3","371190055093",Block Group 3,G5030,S,"1898911","9166","+35.3750705","-080.7923995",1500000US371190055093,"Block Group 3, Census Tract 55.09, Mecklenburg County, North Carolina","3475","1032","1783","0","24","0","566","70","0","70",
"37","119","005509","2","371190055092",Block Group 2,G5030,S,"1314660","2656","+35.3663740","-080.8000136",1500000US371190055092,"Block Group 2, Census Tract 55.09, Mecklenburg County, North Carolina","1353","237","1086","0","0","0","0","30","0","30",
"37","119","005831","2","371190058312",Block Group 2,G5030,S,"1036288","0","+35.0825173","-080.8419751",1500000US371190058312,"Block Group 2, Census Tract 58.31, Mecklenburg County, North Carolina","1984","1483","255","0","120","0","56","70","0","70",
"37","119","005513","1","371190055131",Block Group 1,G5030,S,"1213584","0","+35.3558429","-080.7924531",1500000US371190055131,"Block Group 1, Census Tract 55.13, Mecklenburg County, North Carolina","2184","297","1352","31","276","0","108","120","0","120",
"37","119","005513","3","371190055133",Block Group 3,G5030,S,"993776","5191","+35.3416355","-080.7937208",1500000US371190055133,"Block Group 3, Census Tract 55.13, Mecklenburg County, North Carolina","1068","685","285","0","18","0","0","80","80","0",
"37","195","000801","2","371950008012",Block Group 2,G5030,S,"988616","0","+35.7124695","-077.9098819",1500000US371950008012,"Block Group 2, Census Tract 8.01, Wilson County, North Carolina","896","67","633","36","0","0","147","13","0","13",
"37","195","000700","3","371950007003",Block Group 3,G5030,S,"592445","0","+35.7235235","-077.8998746",1500000US371950007003,"Block Group 3, Census Tract 7, Wilson County, North Carolina","548","0","548","0","0","0","0","0","0","0",
"37","195","000300","2","371950003002",Block Group 2,G5030,S,"944159","0","+35.7109425","-077.9228069",1500000US371950003002,"Block Group 2, Census Tract 3, Wilson County, North Carolina","1102","81","860","111","0","0","50","0","0","0",
"37","195","000600","2","371950006002",Block Group 2,G5030,S,"558114","0","+35.7414399","-077.9156135",1500000US371950006002,"Block Group 2, Census Tract 6, Wilson County, North Carolina","1206","222","902","0","0","0","0","82","82","0",
"37","195","000400","1","371950004001",Block Group 1,G5030,S,"1172080","0","+35.7160740","-077.9397458",1500000US371950004001,"Block Group 1, Census Tract 4, Wilson County, North Carolina","877","364","381","0","56","0","23","53","0","53",
"37","195","000802","1","371950008021",Block Group 1,G5030,S,"1463869","0","+35.7095777","-077.8945631",1500000US371950008021,"Block Group 1, Census Tract 8.02, Wilson County, North Carolina","1560","120","1286","0","0","0","105","49","10","39",
"37","195","000300","1","371950003001",Block Group 1,G5030,S,"658213","0","+35.7180273","-077.9299067",1500000US371950003001,"Block Group 1, Census Tract 3, Wilson County, North Carolina","1129","358","668","0","0","0","102","1","0","1",
"37","195","001600","2","371950016002",Block Group 2,G5030,S,"34322330","3421014","+35.6579067","-078.1326148",1500000US371950016002,"Block Group 2, Census Tract 16, Wilson County, North Carolina","1071","600","197","0","14","0","237","23","23","0","1"
"37","195","001200","2","371950012002",Block Group 2,G5030,S,"27647870","64047","+35.7009763","-077.8345462",1500000US371950012002,"Block Group 2, Census Tract 12, Wilson County, North Carolina","1026","360","537","9","4","0","116","0","0","0",
"37","195","001200","3","371950012003",Block Group 3,G5030,S,"43236731","50757","+35.7353272","-077.7665087",1500000US371950012003,"Block Group 3, Census Tract 12, Wilson County, North Carolina","686","532","102","0","0","0","52","0","0","0",
"37","025","042401","1","370250424011",Block Group 1,G5030,S,"5831334","0","+35.4527566","-080.5891228",1500000US370250424011,"Block Group 1, Census Tract 424.01, Cabarrus County, North Carolina","1392","1156","53","0","110","0","30","43","6","37",
"37","025","042401","2","370250424012",Block Group 2,G5030,S,"5400743","0","+35.4354293","-080.5844005",1500000US370250424012,"Block Group 2, Census Tract 424.01, Cabarrus County, North Carolina","2152","1743","255","19","0","0","86","49","0","49","1"
"37","025","042402","1","370250424021",Block Group 1,G5030,S,"1436074","0","+35.4360218","-080.6105370",1500000US370250424021,"Block Group 1, Census Tract 424.02, Cabarrus County, North Carolina","1803","998","694","0","0","0","0","111","13","98","1"
